,Category,Message,Contain_HP
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...   ",False
1,0,Ok lar... Joking wif u oni...   ,False
2,0,U dun say so early hor... U c already then say...   ,False
3,0,"Nah I don't think he goes to usf, he lives around here though   ",False
4,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv   ",False
5,0,Even my brother is not like to speak with me. They treat me like aids patent.   ,False
6,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.   ",False
7,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.   ,False
8,0,I HAVE A DATE ON SUNDAY WITH WILL!!   ,False
9,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL   ",False
10,0,Oh k...i'm watching here:)   ,False
11,0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.   ,False
12,0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b   ,False
13,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+   ",False
14,0,Is that seriously how you spell his name?   ,False
15,0,IÛ÷m going to try for 2 months ha ha only joking   ,False
16,0,So Ì_ pay first lar... Then when is da stock comin...   ,False
17,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?   ,False
18,0,Ffffffffff. Alright no way I can meet up with you sooner?   ,False
19,0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol   ,False
20,0,Lol your always so convincing.   ,False
21,0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?   ,False
22,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room   ",False
23,0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol   ,False
24,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us   ",False
25,0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?    ,False
26,0,K tell me anything about you.   ,False
27,0,For fear of fainting with the of all that housework you just did? Quick have a cuppa   ,False
28,1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged   ,False
29,0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am   ,False
30,0,"Oops, I'll let you know when my roommate's done   ",False
31,0,I see the letter B on my car   ,False
32,0,Anything lor... U decide...   ,False
33,0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!   ,False
34,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola   ,False
35,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy   ",False
36,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow   ,True
37,0,WHO ARE YOU SEEING?   ,False
38,0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...   ,False
39,0,Didn't you get hep b immunisation in nigeria.   ,False
40,0,"Fair enough, anything going on?   ",False
41,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit   ",False
42,0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.   ,False
43,0,What you thinked about me. First time you saw me in class.   ,False
44,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;   ",False
45,0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight   ,False
46,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""   ",False
47,1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV   ,False
48,0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;   ,False
49,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!    ",True
50,0,"Sorry, I'll call later in meeting.   ",False
51,0,Tell where you reached   ,False
52,0,Yes..gauti and sehwag out of odi series.   ,False
53,0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.   ,False
54,0,Ha ha ha good joke. Girls are situation seekers.   ,False
55,0,"Sorry my roommates took forever, it ok if I come by now?   ",False
56,0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.   ,False
57,1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""   ",False
58,0,I plane to give on this month end.   ,False
59,0,Wah lucky man... Then can save money... Hee...   ,False
60,0,Finished class where are you.   ,False
61,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX   ,False
62,0,K..k:)where are you?how did you performed?   ,False
63,0,U can call me now...   ,False
64,0,I am waiting machan. Call me once you free.   ,False
65,0,Thats cool. i am a gentleman and will treat you with dignity and respect.   ,False
66,0,I like you peoples very much:) but am very shy pa.   ,False
67,0,Does not operate after  &lt;#&gt;  or what   ,False
68,0,Its not the same here. Still looking for a job. How much do Ta's earn there.   ,False
69,0,K. Did you call me just now ah?    ,False
70,0,Ok i am on the way to home hi hi   ,False
71,0,Yup next stop.   ,False
72,0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.   ,False
73,0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.   ,False
74,0,I'm really not up to it still tonight babe   ,False
75,0,"Ela kano.,il download, come wen ur free..   ",False
76,0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!   ,False
77,0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.    ,False
78,0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?   ,False
79,0,Watching telugu movie..wat abt u?   ,False
80,0,i see. When we finish we have loads of loans to pay   ,False
81,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""   ",False
82,0,Please don't text me anymore. I have nothing else to say.   ,False
83,0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx   ,False
84,0,I'm still looking for a car to buy. And have not gone 4the driving test yet.   ,False
85,0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.   ",False
86,0,Umma my life and vava umma love you lot dear   ,False
87,0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.   ,False
88,0,"Aight, I'll hit you up when I get some cash   ",False
89,0,How would my ip address test that considering my computer isn't a minecraft server   ,False
90,0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...   ,False
91,0,Dont worry. I guess he's busy.   ,False
92,0,What is the plural of the noun research?   ,False
93,0,Going for dinner.msg you after.   ,False
94,0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.   ,False
95,1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm   ,True
96,0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?   ",False
97,1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)    ,True
98,0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!    ,False
99,0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.   ,False
100,1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM   ",True
101,0,here is my new address -apples&pairs&all that malarky   ,False
102,1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app   ,True
103,0,I am going to sao mu today. Will be done only at 12    ,False
104,0,ÌÏ predict wat time Ì_'ll finish buying?   ,False
105,0,"Good stuff, will do.   ",False
106,0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.   ",False
107,0,Are you there in room.   ,False
108,0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx   ,False
109,0,K..k:)how much does it cost?   ,False
110,0,I'm home.   ,False
111,0,"Dear, will call Tmorrow.pls accomodate.   ",False
112,0,First answer my question.   ,False
113,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p   ,False
114,0,I only haf msn. It's yijue@hotmail.com   ,False
115,0,He is there. You call and meet him   ,False
116,1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again   ,False
117,0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...   ,False
118,0,"K, text me when you're on the way   ",False
119,0,"Sir, Waiting for your mail.   ",False
120,0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""   ",False
121,0,I know you are. Can you pls open the back?   ,False
122,0,Yes see ya not on the dot   ,False
123,0,Whats the staff name who is taking class for us?   ,False
124,1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end   ",True
125,0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.   ,False
126,0,K..i deleted my contact that why?   ,False
127,0,Sindu got job in birla soft ..   ,False
128,0,The wine is flowing and i'm i have nevering..   ,False
129,0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.   ,False
130,0,Ok... Ur typical reply...   ,False
131,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune   ,False
132,0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.   ",False
133,0,Aaooooright are you at work?   ,False
134,0,I'm leaving my house now...   ,False
135,0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?   ",False
136,1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery   ,True
137,0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life   ,False
138,0,New car and house for my parents.:)i have only new job in hand:)   ,False
139,0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.   ,False
140,1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468   ,False
141,1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu   ",False
142,0,I place all ur points on e cultures module already.   ,False
143,1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only   ,True
144,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?   ",False
145,0,Great escape. I fancy the bridge but needs her lager. See you tomo    ,False
146,0,"Sir, I need AXIS BANK account no and bank address.   ",False
147,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...    ",False
148,0,What time you coming down later?    ,False
149,0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...    ",False
150,0,"Well, i'm gonna finish my bath now. Have a good...fine night.   ",False
151,0,Let me know when you've got the money so carlos can make the call   ,False
152,0,U still going to the mall?   ,False
153,0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth   ",False
154,0,Text her. If she doesnt reply let me know so i can have her log in   ,False
155,0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend   ,False
156,0,Lol no. U can trust me.   ,False
157,0,ok. I am a gentleman and will treat you with dignity and respect.   ,False
158,0,"He will, you guys close?   ",False
159,0,Going on nothing great.bye   ,False
160,0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?   ,False
161,0,"Haha awesome, be there in a minute   ",False
162,0,Have you got Xmas radio times. If not i will get it now   ,False
163,0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...   ,False
164,1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk   ,False
165,0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|   ,False
166,0,Hi :)finally i completed the course:)   ,False
167,0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.   ,False
168,0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?    ,False
169,0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx   ,False
170,0,"Found it, ENC  &lt;#&gt; , where you at?   ",False
171,0,I sent you  &lt;#&gt;  bucks   ,False
172,0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx   ,False
173,0,Goodmorning sleeping ga.   ,False
174,0,U call me alter at 11 ok.   ,False
175,0,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...   ,False
176,0,"Aight yo, dats straight dogg   ",False
177,0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill   ,False
178,0,Both :) i shoot big loads so get ready!   ,False
179,0,"What's up bruv, hope you had a great break. Do have a rewarding semester.   ",False
180,0,Home so we can always chat   ,False
181,0,K:)k:)good:)study well.   ,False
182,0,Yup... How Ì_ noe leh...   ,False
183,0,Sounds great! Are you home now?   ,False
184,0,Finally the match heading towards draw as your prediction.   ,False
185,0,Tired. I haven't slept well the past few nights.   ,False
186,0,I have to take exam with march 3   ,False
187,0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.   ,False
188,0,Ok no prob. Take ur time.   ,False
189,0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..   ,False
190,0,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.   ,False
191,1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18   ",True
192,0,Would really appreciate if you call me. Just need someone to talk to.   ,False
193,1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES   ",False
194,0,Hey company elama po mudyadhu.   ,False
195,0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .   ",False
196,0,Dear good morning now only i am up   ,False
197,0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.   ,False
198,0,Dear we are going to our rubber place   ,False
199,0,"Sorry battery died, yeah I'm here   ",False
200,1,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence   ,False
201,0,I have printed it oh. So  &lt;#&gt;  come upstairs   ,False
202,0,Or ill be a little closer like at the bus stop on the same street   ,False
203,0,Where are you?when wil you reach here?   ,False
204,0,Tomarrow final hearing on my laptop case so i cant.   ,False
205,0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx   ,False
206,0,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.   ",False
207,0,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...   ",False
208,0,U don't remember that old commercial?   ,False
209,0,Too late. I said i have the website. I didn't i have or dont have the slippers   ,False
210,0,I asked you to call him now ok   ,False
211,0,Kallis wont bat in 2nd innings.   ,False
212,0,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.   ,False
213,0,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.   ",False
214,0,"I'm back, lemme know when you're ready   ",False
215,0,Don't necessarily expect it to be done before you get back though because I'm just now headin out   ,False
216,0,Mmm so yummy babe ... Nice jolt to the suzy   ,False
217,0,Where are you lover ? I need you ...   ,False
218,1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW   ,True
219,0,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?   ,False
220,0,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.   ,False
221,0,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*   ,True
222,1,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698   ,False
223,0,Why you Dint come with us.   ,False
224,0,Same. Wana plan a trip sometme then   ,False
225,0,"Not sure yet, still trying to get a hold of him   ",False
226,1,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT   ,False
227,0,The evo. I just had to download flash. Jealous?   ,False
228,1,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.   ,False
229,0,"Come to mu, we're sorting out our narcotics situation   ",False
230,0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.   ",False
231,0,"Usf I guess, might as well take 1 car   ",False
232,0,No objection. My bf not coming.   ,False
233,0,Thanx...   ,False
234,0,Tell rob to mack his gf in the theater   ,False
235,0,"Awesome, I'll see you in a bit   ",False
236,0,Just sent it. So what type of food do you like?   ,False
237,0,All done? All handed in? Celebrations in full swing yet?   ,False
238,0,You got called a tool?   ,False
